device_id	RMS	Peak-to-Peak	Crest Factor	Skewness	Kurtosis	Band Energy	Date	time	Day
sim-1	0,0797777769880162	-0,0348888896405697	0,288173988461494	0,0658888866504033	-0,00044444151636627	-0,24066672888067	den 27 oktober 2025	00:00:00	26
sim-1	-0,0423000004142523	-0,00470000356435776	0,338268906623125	0,0507000015117228	0,0744999974966049	-0,0930993506684899	den 27 oktober 2025	00:00:05	26
sim-1	-0,0356666677527957	-0,113888882773204	0,500838625762198	0,0761111107551389	0,0506666691766845	0,0237122550606728	den 27 oktober 2025	00:00:10	26
sim-1	0,0954000007361174	-0,076300002168864	0,39185077548027	0,137199994456023	-0,0873000003397465	0,0755325894802809	den 27 oktober 2025	00:00:15	26
sim-1	0,30000000372529	-0,0924999992363155	0,515671944618225	0,217499998211861	0,00129999965429306	0,0578933626413345	den 27 oktober 2025	00:00:20	26
sim-1	0,131222222414282	-0,12966666287846	0,427258283727699	0,0773333332811793	-0,209333327081468	-0,0567824540452825	den 27 oktober 2025	00:00:25	26
sim-1	0,0020999975502491	-0,119900001748465	0,403333911299706	0,0762000031769276	-0,211899999529123	-0,0141297901514918	den 27 oktober 2025	00:00:30	26
sim-1	-0,140000001009968	0,115111107834511	0,473765137294928	-0,0951111097432052	-0,0325555602709452	0,113092872417635	den 27 oktober 2025	00:00:35	26
sim-1	0,100700004398823	-0,103200000524521	0,355221700668335	-0,0679000001400709	-0,0750000024214387	0,00138545408844948	den 27 oktober 2025	00:00:40	26
sim-1	-0,160666664855348	0,0188888866040442	0,369970877965291	-0,0840000001092752	-0,00522221873203913	0,0772865174545182	den 27 oktober 2025	00:00:45	26
sim-1	0,0267000012099743	0,0523999974131584	0,57681859433651	-0,0446999944746494	0,157700002938509	0,167474313266575	den 27 oktober 2025	00:00:50	26
sim-1	-0,0795555539015267	0,0594444410461518	0,370201587677002	-0,187777779194423	0,0646666586399078	-0,147421514615417	den 27 oktober 2025	00:00:55	26
sim-1	0,093199997767806	-0,283199997991323	0,572364164888859	0,040599999576807	-0,377600002288818	0,12132398635149	den 27 oktober 2025	00:01:00	26
sim-1	-0,00877778066529168	-0,105000002102719	0,948526425494088	0,0627777820660008	-0,274444442449345	0,165439816812674	den 27 oktober 2025	00:01:05	26
sim-1	-0,230200000852346	0,119500013813376	0,912227508425713	-0,406699988245964	0,123499989509583	0,00438282415270805	den 27 oktober 2025	00:01:10	26
sim-1	-0,46222223341465	0,0729999956157472	1,29054706957605	-0,105888877477911	-0,0958888853589694	0,336354075206651	den 27 oktober 2025	00:01:15	26
sim-1	0,0182000007480383	-0,0775000039488077	0,567029417678714	-0,0267999961972237	-0,262099987268448	-0,0154178522527218	den 27 oktober 2025	00:01:20	26
sim-1	-0,336100005172193	0,066100001335144	0,675106377899647	-0,198999999836087	0,121900003403425	-0,0362541697919369	den 27 oktober 2025	00:01:25	26
sim-1	0,220555558360906	0,236111112715056	0,686887769235505	-0,0661111060116026	0,366999997446934	0,0810769317516436	den 27 oktober 2025	00:01:30	26
sim-1	-0,099500010535121	-0,0380000043660402	0,687099453806877	-0,217500002495945	-0,254899995774031	0,166288528166478	den 27 oktober 2025	00:01:35	26
